date,account,debit,credit,description
2026-01-02,Cash,18650,0,Owner investment debit leg
2026-01-02,Owner Equity,0,18650,Owner investment credit leg
2026-01-03,Accounts Receivable,4825,0,Invoice 2001 debit leg
2026-01-03,Sales Revenue,0,4825,Invoice 2001 credit leg
2026-01-04,Cash,2413,0,Invoice 2001 partial collection debit leg
2026-01-04,Accounts Receivable,0,2413,Invoice 2001 partial collection credit leg
2026-01-05,Rent Expense,1875,0,Main office rent debit leg
2026-01-05,Cash,0,1875,Main office rent credit leg
2026-01-06,Salary Expense,3268,0,Payroll week one debit leg
2026-01-06,Cash,0,3268,Payroll week one credit leg
2026-01-07,Utilities Expense,918,0,Electricity invoice debit leg
2026-01-07,Accounts Payable,0,918,Electricity invoice credit leg
2026-01-08,Inventory,2634,0,Inventory purchase batch 14 debit leg
2026-01-08,Accounts Payable,0,2634,Inventory purchase batch 14 credit leg
2026-01-09,Accounts Payable,1221,0,Vendor payment batch 14 debit leg
2026-01-09,Cash,0,1221,Vendor payment batch 14 credit leg
2026-01-10,Equipment,4377,0,Laptop and printer bundle debit leg
2026-01-10,Cash,0,4377,Laptop and printer bundle credit leg
2026-01-11,Cash,6155,0,Bank loan proceeds debit leg
2026-01-11,Notes Payable,0,6155,Bank loan proceeds credit leg
2026-01-12,Cash,3529,0,Service engagement receipt debit leg
2026-01-12,Service Revenue,0,3529,Service engagement receipt credit leg
2026-01-13,Owner Equity Draw,945,0,Owner draw debit leg
2026-01-13,Cash,0,945,Owner draw credit leg
